Number,English name,Japanese name,Type
201,Rover,みしらぬネコ,SP
202,Blathers,フータ,SP
203,Tom Nook,たぬきち,SP
204,Pelly,ぺりこ,SP
205,Phyllis,ぺりみ,SP
206,Pete,ぺりお,SP
207,Mabel,きぬよ,SP
208,Leif,レイジ,SP
209,Wendell,セイイチ,SP
210,Cyrus,カイゾ,SP
211,Grams,ゲコ,SP
212,Timmy,まめきち,SP
213,Digby,ケント,SP
214,Don Resetti,ラケットさん,SP
215,Isabelle,しずえ,SP
216,Franklin,フランクリン,SP
217,Jingle,ジングル,SP
218,Lily,レイニー,Frog
219,Anchovy,アンチョビ,Bird
220,Tabby,トラこ,Cat
221,Kody,アイダホ,Cub
222,Miranda,ミランダ,Duck
223,Del,ヤマト,Alligator
224,Paula,レイチェル,Bear
225,Ken,クロベエ,Chicken
226,Mitzi,マール,Cat
227,Rodeo,ロデオ,Cow/Bull
228,Bubbles,チャコ,Rhino
229,Cousteau,ハルマキ,Frog
230,Velma,ピティエ,Goat
231,Elvis,キング,Lion
232,Canberra,キャンベラ,Koala
233,Colton,アンソニー,Horse
234,Marina,タコリーナ,Octopus
235,Spork,ポーク,Pig
236,Freckles,マグロ,Duck
237,Bam,タケル,Deer
238,Friga,サブリナ,Penguin
239,Ricky,カジロウ,Hamster
240,Deirdre,ナディア,Deer
241,Hans,スナイル,Gorilla
242,Chevre,ユキ,Goat
243,Drago,タツオ,Alligator
244,Tangy,ヒャクパー,Cat
245,Mac,チャンプ,Dog
246,Eloise,エレフィン,Elephant
247,Wart Jr.,サム,Frog
248,Hazel,アイリス,Hamster
249,Beardo,ベアード,Bear
250,Ava,ドミグラ,Chicken
251,Chester,パンタ,Cub
252,Merry,さっち,Cat
253,Genji,ゲンジ,Rabbit
254,Greta,ふくこ,Mouse
255,Wolfgang,ロボ,Wolf
256,Diva,アイーダ,Frog
257,Klaus,クマロス,Bear
258,Daisy,バニラ,Dog
259,Stinky,アセクサ,Cat
260,Tammi,エイプリル,Monkey
261,Tucker,はじめ,Elephant
262,Blanche,しのぶ,Bird
263,Gaston,モサキチ,Rabbit
264,Marshall,ジュン,Squirrel
265,Gala,ためこ,Pig
266,Joey,リチャード,Duck
267,Pippy,ロッタ,Rabbit
268,Buck,ヴァヤシコフ,Horse
269,Bree,サラ,Mouse
270,Rooney,マイク,Kangaroo
271,Curlos,カルロス,Sheep
272,Skye,リリィ,Wolf
273,Moe,ジンベイ,Cat
274,Flora,フララ,Ostrich
275,Hamlet,ハムスケ,Hamster
276,Astrid,キッズ,Kangaroo
277,Monty,サルモンティ,Monkey
278,Dora,とめ,Mouse
279,Biskit,ロビン,Dog
280,Victoria,セントアロー,Horse
281,Lyman,オズモンド,Koala
282,Violet,ウズメ,Gorilla
283,Franklin,ハルク,Eagle
284,Chadder,チーズ,Mouse
285,Merengue,パティ,Rhino
286,Cube,ビス,Penguin
287,Claudia,マリリン,Tiger
288,Curly,ハムカツ,Pig
289,Boomer,ショーイ,Penguin
290,Caroline,キャロライン,Squirrel
291,Sparro,ちゅんのすけ,Bird
292,Baabara,トロワ,Sheep
293,Rolf,チョモラン,Tiger
294,Maple,メープル,Cub
295,Antonio,マコト,Anteater
296,Soleil,シャンティ,Hamster
297,Apollo,アポロ,Eagle
298,Derwin,ボン,Duck
299,Francine,フランソワ,Rabbit
300,Chrissy,クリスチーヌ,Rabbit
