Number,English name,Japanese name,Type
101,K.K. Slider,とたけけ,SP
102,Reese,リサ,SP
103,Kicks,シャンク,SP
104,Labelle,ケイト,SP
105,Copper,おまわりさんA,SP
106,Booker,おまわりさんB,SP
107,Katie,まいこちゃん,SP
108,Tommy,つぶきち,SP
109,Porter,えきいんさん,SP
110,Lelia,クク,SP
111,Shrunk,ししょー,SP
112,Don Resetti,ラケットさん,SP
113,Isabelle,しずえ,SP
114,Blanca,あやしいネコ,SP
115,Nat,カメヤマさん,SP
116,Chip,うおまさ,SP
117,Jack,パンプキング,SP
118,Poncho,ポンチョ,Cub
119,Felicity,みかっち,Cat
120,Ozzie,ドンブリ,Koala
121,Tia,ティーナ,Elephant
122,Lucha,マスカラス,Bird
123,Fuschia,ジェシカ,Deer
124,Harry,オリバー,Hippo
125,Gwen,ポーラ,Penguin
126,Coach,テッチャン,Cow/Bull
127,Kitt,アップリケ,Kangaroo
128,Tom,バンタム,Cat
129,Tipper,まきば,Cow/Bull
130,Prince,カール,Frog
131,Pate,ナッキー,Duck
132,Vladimir,ガビ,Cub
133,Savannah,サバンナ,Horse
134,Kidd,やさお,Goat
135,Phoebe,ヒノコ,Ostrich
136,Egbert,しもやけ,Chicken
137,Cookie,ペリーヌ,Dog
138,Sly,ハイド,Alligator
139,Blaire,シルエット,Squirrel
140,Avery,クスケチャ,Eagle
141,Nana,チッチ,Monkey
142,Peck,ふみたろう,Bird
143,Olivia,オリビア,Cat
144,Cesar,アラン,Gorilla
145,Carmen,チョコ,Rabbit
146,Rodney,ジミー,Hamster
147,Scoot,マモル,Duck
148,Whitney,ビアンカ,Wolf
149,Broccolo,ブロッコリー,Mouse
150,Coco,やよい,Rabbit
151,Groucho,クロー,Bear
152,Wendy,みぞれ,Sheep
153,Alfonso,アルベルト,Alligator
154,Rhonda,ユメコ,Rhino
155,Butch,ジョン,Dog
156,Gabi,ペチカ,Rabbit
157,Moose,ピン,Mouse
158,Timbra,つかさ,Sheep
159,Zell,ネルソン,Deer
160,Pekoe,ジャスミン,Cub
161,Teddy,たいへいた,Bear
162,Mathilda,アザラク,Kangaroo
163,Ed,キザノホマレ,Horse
164,Bianca,ユユキ,Tiger
165,Filbert,リッキー,Squirrel
166,Kitty,ショコラ,Cat
167,Beau,ペーター,Deer
168,Nan,スミ,Goat
169,Bud,グラさん,Lion
170,Ruby,ルナ,Rabbit
171,Benedict,ぺしみち,Chicken
172,Agnes,アグネス,Pig
173,Julian,ジュリー,Horse
174,Bettina,マルコ,Mouse
175,Jay,ツバクロ,Bird
176,Sprinkle,フラッペ,Penguin
177,Flip,さすけ,Monkey
178,Hugh,クッチャネ,Pig
179,Hopper,だるマン,Penguin
180,Pecan,レベッカ,Squirrel
181,Drake,フォアグラ,Duck
182,Alice,メルボルン,Koala
183,Camofrog,フルメタル,Frog
184,Anicotti,ラザニア,Mouse
185,Chops,トンファン,Pig
186,Charlise,チャーミー,Bear
187,Vic,ノルマン,Cow/Bull
188,Ankha,ナイル,Cat
189,Drift,ドク,Frog
190,Vesta,メリヤス,Sheep
191,Marcel,もんじゃ,Dog
192,Pango,パトラ,Anteater
193,Keaton,フランク,Eagle
194,Gladys,ちとせ,Ostrich
195,Hamphrey,ハムジ,Hamster
196,Freya,ツンドラ,Wolf
197,Kid Cat,１ごう,Cat
198,Agent S,２ごう,Squirrel
199,Big Top,３ごう,Elephant
200,Rocket,４ごう,Gorilla
