Number,English name,Japanese name,Type
001,Isabelle,しずえ,SP
002,Tom Nook,たぬきち,SP
003,DJ KK,DJ K.K,SP
004,Sable,あさみ,SP
005,Kapp'n,かっぺい,SP
006,Resetti,リセットさん,SP
007,Joan,カブリバ,SP
008,Timmy,まめきち,SP
009,Digby,ケント,SP
010,Pascal,ラコスケ,SP
011,Harriet,カットリーヌ,SP
012,Redd,つねきち,SP
013,Saharah,ローラン,SP
014,Luna,ゆめみ,SP 
015,Tortimer,コトブキ,SP
016,Lyle,ホンマさん,SP
017,Lottie,タクミ,SP
018,Bob,ニコバン,Cat
019,Fauna,ドレミ,Deer
020,Curt,ガンテツ,Bear
021,Portia,ブレンダ,Dog
022,Leonardo,ヒョウタ,Tiger
023,Cheri,アセロラ,Cub
024,Kyle,リカルド,Wolf
025,Al,たもつ,Gorilla
026,Renee,おさい,Rhino
027,Lopez,トムソン,Deer
028,Jambette,エスメラルダ,Frog
029,Rasher,グレオ,Pig
030,Tiffany,バズレー,Rabbit
031,Sheldon,クリス,Squirrel
032,Bluebear,グルミン,Cub
033,Bill,ピータン,Duck
034,Kiki,キャビア,Cat
035,Deli,デリー,Monkey
036,Alli,クロコ,Alligator
037,Kabuki,かぶきち,Cat
038,Patty,カルピ,Cow/Bull
039,Jitters,ジーニョ,Bird
040,Gigi,リンダ,Frog
041,Quillson,タックン,Duck
042,Marcie,マリア,Kangaroo
043,Puck,ホッケー,Penguin
044,Shari,シェリー,Monkey
045,Octavian,おくたろう,Octopus
046,Winnie,マキバスター,Horse
047,Knox,キンカク,Chicken
048,Sterling,ギンカク,Eagle
049,Bonbon,ミミィ,Rabbit
050,Punchy,ビンタ,Cat
051,Opal,オパール,Elephant
052,Poppy,グミ,Squirrel
053,Limberg,らっきょ,Mouse
054,Deena,まりも,Duck
055,Snake,モモチ,Rabbit
056,Bangle,ルーズ,Tiger
057,Phil,ケイン,Ostrich
058,Monique,ジェーン,Cat
059,Nate,バッカス,Bear
060,Samson,ピース,Mouse
061,Tutu,れんにゅう,Bear
062,T-Bone,ボルシチ,Cow/Bull
063,Mint,ミント,Squirrel
064,Pudge,きんぞう,Cub
065,Midge,うずまき,Bird
066,Gruff,ビリー,Goat
067,Flurry,ゆきみ,Hamster
068,Clyde,デースケ,Horse
069,Bella,イザベラ,Mouse
070,Biff,ガブリエル,Hippo
071,Yuka,ユーカリ,Koala
072,Lionel,ライオネル,Lion
073,Flo,レイラ,Penguin
074,Cobb,ハカセ,Pig
075,Amelia,アンデス,Eagle
076,Jeremiah,クワトロ,Frog
077,Cherry,ハンナ,Dog
078,Roscoe,シュバルツ,Horse
079,Truffles,トンコ,Pig
080,Eugene,ロッキー,Koala
081,Eunice,モヘア,Sheep
082,Goose,ケンタ,Chicken
083,Annalisa,みやび,Anteater
084,Benjamin,ハチ,Dog
085,Pancetti,ブリトニー,Pig
086,Chief,チーフ,Wolf
087,Bunnie,リリアン,Rabbit
088,Clay,どぐろう,Hamster
089,Diana,ナタリー,Deer
090,Axel,エックスエル,Elephant
091,Muffy,フリル,Sheep
092,Henry,ヘンリー,Frog
093,Bertha,あんこ,Hippo
094,Cyrano,さくらじま,Anteater
095,Peanut,ももこ,Squirrel
096,Cole,アマミン,Rabbit
097,Willow,マリー,Sheep
098,Roald,ペンタ,Penguin
099,Molly,カモミ,Duck
100,Walker,ベン,Dog
