Number,English name,Japanese name,Type
301,Isabelle,しずえ,SP
302,Brewster,マスター,SP
303,Katrina,ハッケミィ,SP
304,Phineas,パロンチーノ,SP
305,Celeste,フーコ,SP
306,Tommy,つぶきち,SP
307,Gracie,グレース,SP
308,Leilani,クーコ,SP
309,Resetti,リセットさん,SP
310,Timmy,まめきち,SP
311,Lottie,タクミ,X
312,Shrunk,ししょー,SP
313,Pavé,ベルリーナ,SP
314,Gulliver,ジョニー,SP
315,Redd,つねきち,SP
316,Zipper,ぴょんたろう,SP
317,Goldie,キャラメル,Dog
318,Stitches,パッチ,Cub
319,Pinky,タンタン,Bear
320,Mott,リック,Lion
321,Mallary,スミモモ,Duck
322,Rocco,ゴンザレス,Hippo
323,Katt,ちょい,Cat
324,Graham,グラハム,Hamster
325,Peaches,ドサコ,Horse
326,Dizzy,ヒュージ,Elephant
327,Penelope,チューこ,Mouse
328,Boone,まんたろう,Gorilla
329,Broffina,カサンドラ,Chicken
330,Croque,タイシ,Frog
331,Pashmina,バーバラ,Goat
332,Shep,ボブ,Dog
333,Lolly,ラムネ,Cat
334,Erik,チャック,Deer
335,Dotty,マーサ,Rabbit
336,Pierce,セバスチャン,Eagle
337,Queenie,タキュ,Ostrich
338,Fang,シベリア,Wolf
339,Frita,ウェンディ,Sheep
340,Tex,ボルト,Penguin
341,Melba,アデレード,Koala
342,Bones,トミ,Dog
343,Anabelle,あるみ,Anteater
344,Rudy,チャス,Cat
345,Naomi,ハナコ,Cow/Bull
346,Peewee,ダンベル,Gorilla
347,Tammy,アネッサ,Cub
348,Olaf,アントニオ,Anteater
349,Lucy,ルーシー,Pig
350,Elmer,サブレ,Horse
351,Puddles,チョキ,Frog
352,Rory,アーサー,Lion
353,Elise,モンこ,Monkey
354,Walt,カンロク,Kangaroo
355,Mira,ミラコ,Rabbit
356,Pietro,ジュペッティ,Sheep
357,Aurora,オーロラ,Penguin
358,Papi,オカッピ,Horse
359,Apple,アップル,Hamster
360,Rod,ジャン,Mouse
361,Purrl,たま,Cat
362,Static,スパーク,Squirrel
363,Celia,ティファニー,Eagle
364,Zucker,タコヤ,Octopus
365,Peggy,ちえり,Pig
366,Ribbot,ガチャ,Frog
367,Annalise,シルブプレ,Horse
368,Chow,チャウヤン,Bear
369,Sylvia,シルビア,Kangaroo
370,Jacques,ジョッキー,Bird
371,Sally,ララミー,Squirrel
372,Doc,トビオ,Rabbit
373,Pompom,のりっぺ,Duck
374,Tank,くるぶし,Rhino
375,Becky,アリア,Chicken
376,Rizzo,ちょろきち,Mouse
377,Sydney,シドニー,Koala
378,Barold,ニッシー,Cub
379,Nibbles,ガリガリ,Squirrel
380,Kevin,イノッチ,Pig
381,Gloria,スワンソン,Duck
382,Lobo,ブンジロウ,Wolf
383,Hippeux,ディビット,Hippo
384,Margie,サリー,Elephant
385,Lucky,ラッキー,Dog
386,Rosie,ブーケ,Cat
387,Rowan,ゴメス,Tiger
388,Maelle,アンヌ,Duck
389,Bruce,ブルース,Deer
390,O'Hare,サントス,Rabbit
391,Gayle,アリゲッティ,Alligator
392,Cranston,トキオ,Ostrich
393,Frobert,コージィ,Frog
394,Grizzly,ムー,Bear
395,Cally,パセリ,Squirrel
396,Simon,エテキチ,Monkey
397,Iggly,のりまき,Penguin
398,Angus,セルバンテス,Cow/Bull
399,Twiggy,ピーチク,Bird
400,Robin,パーチク,Bird
